id,description,amount,true_category
36,WH SMITH,-22.50,Supplies
37,BRITISH GAS BUSINESS,-143.00,Utilities
38,EDF ENERGY,-98.00,Utilities
39,BT BUSINESS BROADBAND,-67.00,Utilities
40,VODAFONE BUSINESS,-55.00,Utilities
41,THAMES WATER,-45.00,Utilities
42,SKY BROADBAND BUSINESS,-49.99,Utilities
43,UBER BUSINESS TRAVEL,-28.00,Travel & Transport
44,TRAINLINE,-56.50,Travel & Transport
45,TRANSPORT FOR LONDON,-34.00,Travel & Transport
46,NATIONAL RAIL,-89.00,Travel & Transport
47,PREMIER INN,-120.00,Travel & Transport
48,EASYJET,-145.00,Travel & Transport
49,ENTERPRISE RENT A CAR,-210.00,Travel & Transport
50,GOOGLE ADS,-250.00,Marketing & Advertising
51,FACEBOOK ADS ACCOUNT,-180.00,Marketing & Advertising
52,LINKEDIN ADS,-320.00,Marketing & Advertising
53,MAILCHIMP MONTHLY,-45.00,Marketing & Advertising
54,HOOTSUITE PLAN,-49.00,Marketing & Advertising
55,BARCLAYS BANK CHARGE,-8.00,Bank Charges
56,BARCLAYS MONTHLY FEE,-8.00,Bank Charges
57,ACCOUNT SERVICE FEE,-12.50,Bank Charges
58,OVERDRAFT FEE JULY,-25.00,Bank Charges
59,COMPANIES HOUSE FILING,-13.00,Professional Fees
60,FIVERR MARKETPLACE,-150.00,Professional Fees
61,UPWORK FREELANCER,-380.00,Professional Fees
62,LEGAL FEES CARTER LLP,-500.00,Professional Fees
63,ACCOUNTANT FEES ANNUAL,-750.00,Professional Fees
64,ROYAL MAIL POSTAGE,-34.00,Operating Expenses
65,DHL COURIER SERVICE,-28.50,Operating Expenses
66,SIMPLY BUSINESS INSURANCE,-89.00,Operating Expenses
67,OFFICE RENT MARCH,-1200.00,Operating Expenses
68,CLEANING SERVICES,-150.00,Operating Expenses
69,FASTER PAYMENT TO SUPPLIER,-500.00,Transfers
70,BACS TRANSFER SAVINGS,-1000.00,Transfers
71,INTERNAL TRANSFER ACC2,-2000.00,Transfers
72,TRANSFER TO PAYROLL ACC,-5000.00,Transfers
73,ATM WITHDRAWAL LONDON,-200.00,Personal / Drawings
74,CASH MACHINE BARCLAYS,-150.00,Personal / Drawings
75,DIRECTOR DRAWINGS MARCH,-1500.00,Personal / Drawings
76,DIVIDEND PAYMENT Q1,-2000.00,Personal / Drawings
77,CLIENT PAYMENT REF 446,2500.00,Revenue
78,BACS RECEIPT ZETA CORP,3100.00,Revenue
79,INVOICE PAYMENT ETA LTD,1900.00,Revenue
80,CLIENT RETAINER THETA CO,4200.00,Revenue
81,SALARY TRANSFER SARAH JONES,-2200.00,Payroll
82,HMRC PAYE APRIL,-1100.00,Payroll
83,ADOBE STOCK,-29.99,Software & Subscriptions
84,ASANA PROJECT MANAGEMENT,-24.99,Software & Subscriptions
85,LIDL GB,-34.50,Supplies
86,ALDI STORES,-28.90,Supplies
87,AMAZON BUSINESS SUPPLIES,-156.00,Supplies
88,VIRGIN MEDIA BUSINESS,-59.99,Utilities
89,O2 BUSINESS MOBILE,-45.00,Utilities
90,UBER BUSINESS,-34.00,Travel & Transport
91,AVANTI WEST COAST,-112.00,Travel & Transport
92,GOOGLE ADS CAMPAIGN,-175.00,Marketing & Advertising
93,META BUSINESS ADS,-220.00,Marketing & Advertising
94,HSBC BANK CHARGE,-8.00,Bank Charges
95,EVRI COURIER,-12.50,Operating Expenses
96,PARCELFORCE,-18.00,Operating Expenses
97,HISCOX INSURANCE,-110.00,Operating Expenses
98,BACS TRANSFER TO RESERVE,-3000.00,Transfers
99,ATM NW LONDON,-100.00,Personal / Drawings
100,CLIENT PAYMENT REF 447,2800.00,Revenue
